Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.81707317,70.97317073,70.94243902,70.91170732,70.88097561,70.8502439,70.8195122,70.86926829,70.91902439,70.96878049,71.01853659,71.06829268,71.45756098,71.84682927,72.23609756,72.62536585,73.01463415,73.34439024,73.67414634,74.00390244,74.33365854,74.66341463,74.90487805,75.14634146,75.38780488,75.62926829,75.87073171,76.15170732,76.43268293,76.71365854,76.99463415,77.27560976,77.37804878,77.87804878,77.87804878,77.82926829,78.07804878,78.4804878,78.63170732,78.93170732,79.23414634,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.5,82.74878049,82.9,83.2,83.3,83.2,..
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.58560976,69.57731707,69.3095122,69.44365854,69.92195122,69.72219512,70.04585366,69.91780488,70.05756098,69.83317073,69.91463415,70.11463415,70.46341463,71.01463415,71.01219512,71.11463415,71.56585366,71.91463415,72.01219512,72.31219512,72.46341463,72.81219512,72.96097561,73.01219512,73.61219512,73.81463415,74.31707317,74.76829268,75.21707317,75.26585366,75.56829268,75.61707317,75.81707317,76.06829268,76.4195122,76.66829268,76.87073171,77.3195122,77.67073171,77.87560976,78.12682927,78.57560976,78.67804878,78.63170732,79.1804878,79.33170732,79.8804878,80.1804878,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439,81.64146341,81.64390244,81.69268293,81.89512195,81.19268293,81.1902439,81.09268293,..
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.70195122,70.52097561,70.2195122,70.05146341,70.75512195,70.62536585,70.70634146,71.01292683,70.69317073,70.76487805,70.97195122,71.0604878,71.40512195,71.63536585,71.98585366,71.97121951,72.1197561,72.77390244,72.69804878,73.19365854,73.20707317,73.62170732,73.88804878,73.86902439,74.40487805,74.5202439,74.73170732,75.36585366,75.56585366,75.63268293,76.05195122,76.19219512,76.35121951,76.34536585,76.69170732,76.84073171,77.18731707,77.37073171,77.47317073,77.6195122,77.72195122,77.97317073,78.07560976,78.12926829,78.87804878,78.9804878,79.3804878,79.78292683,79.6804878,80.03414634,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293,81.43902439,81.49268293,81.59512195,81.99512195,80.69512195,81.7902439,81.69756098,..
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.66,53.183,53.71,54.209,54.648,55.084,55.473,55.868,56.31,56.748,57.171,57.586,58.032,58.472,58.881,59.353,59.792,60.24,60.72,61.253,61.781,62.333,62.856,63.331,63.773,64.198,64.64,65.08,65.454,65.868,65.985,66.31,66.708,67.109,67.568,67.919,68.409,68.813,69.189,69.524,69.737,70.195,70.41,70.72,71.131,71.753,72.037,72.365,72.715,72.948,73.182,73.343,73.552,73.918,74.306,74.332,74.442,74.827,75.109,75.338,74.009,72.75,73.425,..
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.24756098,70.19560976,69.49195122,70.30926829,71.12121951,71.29390244,71.22341463,70.41390244,71.22512195,70.43,71.25634146,70.87365854,70.8995122,71.34219512,71.20804878,71.0497561,71.39487805,70.81609756,71.18463415,71.30829268,71.15756098,71.57195122,71.18609756,71.38634146,71.4997561,71.22804878,71.73073171,71.52682927,71.60439024,71.72243902,71.64146341,71.56097561,71.49439024,71.34682927,71.20878049,71.05341463,70.89731707,70.35121951,71.06097561,71.41219512,71.66341463,71.76829268,71.86585366,72.06585366,72.56341463,72.56097561,72.61219512,72.66341463,72.96341463,73.41219512,73.51219512,74.16341463,74.31463415,74.86097561,74.46585366,74.61463415,74.81219512,74.81463415,74.96341463,75.11219512,73.65853659,71.46341463,74.36097561,..
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.13317073,71.34609756,71.36707317,71.38073171,71.77634146,71.87219512,72.00439024,72.20780488,72.35341463,72.50146341,72.7004878,73.02926829,72.93390244,73.16268293,73.23756098,73.52170732,73.85609756,74.21560976,74.5297561,74.86634146,75.10219512,75.49780488,75.72512195,76.0604878,76.33195122,76.32731707,76.46390244,76.77878049,76.85878049,77.12487805,77.43658537,77.59341463,77.83804878,77.70487805,77.87170732,77.97731707,78.2202439,78.41243902,78.62365854,78.83902439,79.16682927,79.39804878,79.53073171,79.71512195,79.99219512,80.11268293,80.54365854,80.54365854,80.72463415,81.06609756,81.32219512,81.48268293,81.66365854,81.74487805,81.78439024,81.81560976,81.92487805,81.83292683,81.84390244,82.22390244,81.6604878,81.58707317,81.29560976,..
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.015,57.537,57.771,57.15,58.738,59.455,59.689,60.72,61.63,61.905,62.491,62.732,62.281,63.905,64.901,66.279,65.855,67.402,68.074,68.186,68.84,69.909,70.299,70.011,70.46,71.176,71.81,72.54,72.456,72.467,72.574,73.574,74.135,74.195,74.614,74.609,74.899,75.596,75.669,76.018,76.87,76.773,77.445,77.387,77.616,78.016,78.261,77.826,78.484,78.741,78.501,79.11,79.023,79.339,79.473,79.746,80.079,80.35,80.133,80.326,79.377,78.944,79.519,..
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.13,57.73,58.301,58.892,59.375,59.815,60.204,60.531,60.871,61.216,61.569,62.051,62.569,63.06,63.64,64.27,64.845,65.424,65.954,66.38,66.868,67.197,67.531,67.745,67.979,66.276,68.26,68.268,68.391,68.533,68.644,68.813,69.038,69.342,69.613,69.933,70.189,70.492,70.738,70.926,71.32,71.502,71.939,72.361,72.695,73.081,73.468,73.837,74.295,74.742,75.033,75.32,75.597,75.827,76.043,76.257,76.471,76.646,76.748,76.752,74.769,72.83,73.659,..
Costa Rica,CRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.415,60.901,61.111,61.624,62.083,62.663,63.367,63.921,64.428,65.016,65.361,66.301,66.716,67.953,68.454,69.4,70.294,71.288,72.239,72.423,72.899,73.799,74.654,75.079,75.091,75.111,75.505,75.741,76.106,76.263,76.63,76.591,76.627,76.703,76.67,76.552,76.804,77.07,76.896,77.138,77.586,77.545,77.983,78.072,78.331,78.505,78.514,78.462,78.445,78.672,78.67,79.348,79.283,79.403,78.774,79.086,79.459,79.377,79.484,79.427,79.277,77.023,77.32,..
Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.48236585,66.18034146,66.46914634,66.85580488,67.29231707,67.83256098,68.12143902,68.29895122,68.38641463,68.66029268,68.81263415,69.14017073,69.44178049,69.8484878,70.14365854,70.00195122,70.45536585,70.74439024,70.53878049,70.42731707,70.17536585,70.34439024,70.48268293,70.27487805,70.21853659,70.88609756,71.41902439,71.4702439,71.48829268,71.84463415,72.1704878,72.18536585,71.24146341,71.52243902,71.80341463,72.08439024,72.36536585,72.49512195,72.31707317,72.64195122,72.80780488,74.51292683,74.71731707,74.61390244,75.5202439,75.24463415,75.83682927,75.70560976,75.91219512,76.16829268,76.47560976,76.77560976,76.92439024,77.12682927,77.47804878,77.27560976,78.02195122,77.82682927,78.07073171,78.42439024,77.72439024,76.42439024,77.57560976,..
